Montant,Ecart_Montant_Habituel,Nouveau_Destinataire,Heure_Transaction,Frequence_Transactions_24h,Delai_Depuis_Derniere_Min,Nb_Destinataires_Distincts_7j,Changement_Appareil,Fraude
16560.0,0.9271730283633309,1,15.0,1,429.0,3,0,0
15466.0,1.0324477298473926,0,15.0,1,206.0,0,0,0
13789.0,4.707140190496578,1,4.0,10,9.1,8,1,1
35152.0,0.8049808973212442,0,10.0,3,156.1,0,0,0
17857.0,1.109308635966293,1,19.0,4,41.7,4,0,0
12549.0,1.0651500757637904,0,15.0,3,227.6,1,1,0
11656.0,1.4382712119291072,0,22.0,1,8.1,0,0,0
4463.0,1.489357500479498,0,16.0,2,15.9,1,0,0
7849.0,0.5536845494435867,0,11.0,4,11.9,4,0,0
38134.0,5.6360639031556925,1,5.0,8,6.5,9,1,1
47217.0,0.7856169026904177,0,23.0,0,27.1,3,0,0
5397.0,0.8183382901751635,0,16.0,1,154.6,2,0,0
20154.0,1.4745228711293805,0,16.0,2,313.2,0,1,0
19436.0,0.8846768621488114,0,9.0,1,96.7,1,0,0
10839.0,1.2301454395679055,1,11.0,3,947.7,0,0,0
32434.0,0.7767584044965368,0,10.0,0,1008.2,1,0,0
2954.0,0.958314615119164,0,12.0,2,491.1,2,0,0
4124.0,1.315759577281647,0,23.0,1,668.5,5,0,0
59094.0,5.6384251154492055,1,3.0,6,31.5,7,0,1
16164.0,0.8765776072003606,0,22.0,1,165.6,0,0,0
19142.0,0.8300559049010585,0,14.0,1,372.2,2,0,0
16423.0,1.1325394773728903,0,18.0,2,451.9,6,0,0
20108.0,1.4525403735483562,0,13.0,1,732.1,6,0,0
3427.0,1.180177432500847,0,9.0,1,123.2,2,0,0
61978.0,1.0989272108171515,1,14.0,0,274.7,0,0,0
20867.0,1.2260132168351283,1,15.0,1,29.7,2,0,0
24364.0,0.9332476152270415,0,16.0,3,733.4,3,0,0
7960.0,1.031886502395873,0,14.0,1,145.3,3,0,0
6725.0,0.5647712790608143,1,14.0,0,333.2,1,0,0
6800.0,0.5550394148798257,0,15.0,1,33.4,3,0,0
6957.0,1.1288006284009757,0,13.0,3,305.0,0,0,0
7668.0,1.0605222721365852,0,14.0,3,347.3,3,0,0
3014.0,0.6764581624299884,0,20.0,1,14.2,3,0,0
5429.0,1.1910750303828794,0,13.0,1,166.3,2,0,0
27800.0,1.2122973240787402,0,12.0,2,215.0,2,0,0
12609.0,0.8755660470267207,0,15.0,1,48.7,2,0,0
8590.0,1.119660916165446,0,16.0,1,398.8,2,0,0
22504.0,0.9203241829006319,0,19.0,1,152.6,2,0,0
14043.0,0.9170537861000051,0,18.0,2,493.0,6,0,0
18699.0,0.9726901646882508,0,13.0,0,14.1,1,0,0
22483.0,1.2086048105687872,1,9.0,3,533.8,4,0,0
6478.0,0.989562573124661,0,19.0,1,414.4,4,0,0
11336.0,1.1624867277559336,0,14.0,0,511.3,0,0,0
8201.0,1.1004987200459784,0,20.0,3,183.5,2,0,0
7069.0,1.2884515325621417,1,10.0,2,228.5,1,0,0
29719.0,1.2177651460286827,0,19.0,0,697.9,0,0,0
5637.0,1.2912721968318472,0,11.0,1,416.0,1,0,0
109560.0,2.5868942597579596,1,23.0,5,0.6,8,0,1
1739.0,1.0731112500197564,0,18.0,3,80.2,0,0,0
31209.0,0.7242598750692341,0,11.0,0,191.6,5,0,0
16057.0,1.4880164675117775,0,12.0,2,34.8,1,0,0
38193.0,0.9394737923143305,0,17.0,2,414.0,2,0,0
22471.0,1.075021443986675,0,9.0,1,104.4,3,0,0
11086.0,1.178365690243802,0,16.0,0,672.5,8,0,0
26926.0,0.818865641495501,0,18.0,2,104.4,2,0,0
15948.0,1.3804472433089274,0,16.0,3,285.3,0,0,0
28684.0,1.1047236426187994,1,18.0,4,484.1,2,0,0
16847.0,0.8185347870360613,0,8.0,2,37.1,3,0,0
19535.0,0.8268950197050522,0,16.0,0,128.1,1,0,0
8966.0,0.9511503989364802,0,16.0,3,118.0,3,0,0
34110.0,2.882943962483262,1,22.0,6,14.8,5,0,1
12376.0,0.7839016950859781,0,16.0,1,407.8,2,0,0
24059.0,1.0996526408671028,0,15.0,0,557.7,1,0,0
34492.0,1.1676044881929832,1,8.0,2,447.3,2,0,1
24800.0,1.1238970639082293,1,17.0,2,165.6,5,0,0
7635.0,1.3827035066489068,0,19.0,1,750.2,1,0,0
16696.0,1.259326400000902,0,12.0,1,195.3,3,0,0
16051.0,1.2245329632525856,0,13.0,1,42.0,1,0,0
37235.0,1.3831234928647538,0,6.0,1,434.9,2,0,0
15805.0,1.1925793642886444,0,10.0,2,260.2,0,0,0
4253.0,0.669377869462267,0,13.0,2,1426.8,1,0,0
27058.0,4.42460522738309,1,4.0,2,14.3,7,0,1
12038.0,1.0228001204445687,0,18.0,2,272.6,2,0,0
5228.0,0.8268936121450078,0,15.0,2,646.2,4,0,0
9101.0,0.9464326421244923,0,13.0,2,274.1,1,0,0
6979.0,0.778845135587165,0,16.0,2,84.6,3,1,0
8763.0,0.9343033750595594,0,12.0,0,264.0,4,0,0
33096.0,0.7441216869560203,0,11.0,2,492.1,1,0,0
18177.0,0.511043543520866,0,10.0,1,420.8,1,0,0
3710.0,1.1951316212281264,0,10.0,4,318.0,2,0,0
24774.0,1.204183478849615,0,14.0,2,438.2,1,0,0
34151.0,0.9276062115299799,0,15.0,1,31.9,1,0,0
7629.0,0.962481609512533,0,14.0,1,109.9,1,0,0
26870.0,1.3273765760831941,0,16.0,1,306.9,2,0,0
19911.0,0.5426883344920885,0,18.0,1,744.8,1,1,0
16924.0,1.0953433910843873,0,16.0,1,122.1,3,0,0
15544.0,1.10107749041604,0,15.0,0,407.9,0,0,0
20156.0,1.1127716598450796,0,16.0,2,162.9,2,0,0
18068.0,1.1144743449038856,0,16.0,5,9.2,3,1,0
9222.0,1.2371819839537421,0,15.0,1,346.5,0,0,0
1741.0,0.8420942200145123,1,13.0,3,15.2,5,0,0
3838.0,1.5055982046867697,0,14.0,1,851.7,2,0,0
29959.0,0.6195337063715864,0,13.0,2,253.3,4,0,0
15082.0,0.46056427857239923,0,20.0,2,24.1,3,0,0
11507.0,0.884144637812675,1,10.0,2,199.8,0,1,0
10043.0,0.7906186261318163,0,5.0,1,199.5,1,0,0
13110.0,1.1187689343671723,0,11.0,2,59.9,3,0,0
3777.0,0.8427172372645017,0,18.0,1,163.6,1,0,1
24696.0,0.8743895745105292,0,14.0,1,7.1,1,0,0
5424.0,0.8718537173680982,0,22.0,1,631.9,3,0,0
5385.0,0.908651790979191,0,14.0,1,1256.6,2,0,0
12215.0,0.8295637408660933,0,12.0,4,14.1,1,0,0
1217.0,0.6202354312697664,1,12.0,0,2084.3,2,0,0
11473.0,0.7891899188531123,0,16.0,2,66.0,1,0,0
12230.0,0.9436009095806546,0,17.0,0,823.5,1,0,0
33692.0,4.89832458335856,0,22.0,6,3.0,9,0,1
21646.0,0.8194361710460017,1,8.0,2,778.8,3,0,0
3544.0,1.0243713282474283,0,20.0,1,14.1,2,0,0
5933.0,0.4905783084243187,1,12.0,5,269.1,3,0,0
4763.0,1.2315372308615167,1,13.0,1,306.0,1,0,0
12336.0,1.372029234142334,1,16.0,3,171.1,2,0,0
14545.0,1.50237790779755,0,10.0,1,247.6,3,0,0
50674.0,1.674069256389196,1,23.0,4,43.2,7,1,1
4820.0,1.259192696760251,0,15.0,2,2601.3,2,0,0
21288.0,0.9427909558738876,0,10.0,3,1031.4,0,0,0
14127.0,1.203803514246897,0,8.0,1,503.5,0,0,1
21028.0,0.9100626954530997,0,11.0,2,1612.8,1,0,0
11290.0,1.0682664639939443,0,12.0,2,159.5,2,0,0
33666.0,1.106607038531499,0,9.0,2,211.6,1,0,0
3143.0,0.9436459832706605,0,15.0,1,222.4,4,0,0
58653.0,4.856147992802795,1,1.0,6,37.2,5,0,1
9079.0,0.8210350311349033,1,13.0,1,436.4,1,0,0
19863.0,1.0214305688103213,0,12.0,0,75.6,1,0,0
14082.0,1.1988057617112744,0,8.0,0,276.8,1,0,0
7219.0,0.6952332756362292,0,14.0,0,174.7,4,0,0
9269.0,0.8407517754946985,0,16.0,3,701.3,0,0,0
6695.0,1.1395228881809105,0,19.0,1,117.7,0,0,0
34727.0,4.985703805057116,1,0.0,8,1.6,12,1,1
5239.0,1.423288772316784,0,17.0,1,191.8,1,0,0
14821.0,0.9036721836426446,0,12.0,1,269.8,1,1,0
27076.0,0.7458561245012685,0,11.0,0,419.3,3,0,0
27623.0,1.0701794262468662,0,21.0,2,190.5,3,0,1
17027.0,0.9356761931276847,0,10.0,3,210.6,4,0,0
18188.0,0.5902332805261084,0,12.0,3,12.2,1,0,1
15860.0,0.9579988954877681,0,10.0,2,1306.5,2,0,1
18581.0,0.7350609864279167,0,19.0,1,431.2,0,0,0
8916.0,1.2335172230414755,0,9.0,2,5.9,2,0,0
12243.0,0.5963251784928001,0,19.0,1,262.3,4,0,0
8822.0,0.9876877630971586,0,12.0,3,102.1,2,0,0
6664.0,0.744665612011465,0,20.0,1,297.0,1,0,0
5748.0,0.8443579371860018,0,12.0,3,263.2,0,0,0
14301.0,0.5481288108706459,0,15.0,0,2333.5,4,0,0
5964.0,1.1583015999715305,0,10.0,1,11.6,0,0,0
35507.0,5.366790979845811,0,1.0,5,89.6,11,0,1
17882.0,0.8208660052926154,0,12.0,0,1257.3,3,1,0
19803.0,0.8760956719862554,0,17.0,3,1709.5,0,0,0
18545.0,1.3207296835517157,1,14.0,0,187.5,4,0,0
21641.0,0.8245159193419269,0,14.0,1,1039.7,2,0,0
5583.0,1.1406379654768366,1,16.0,0,395.4,2,0,0
8251.0,0.8236676268231261,0,10.0,0,2096.4,2,0,0
4512.0,1.0245488342007012,0,9.0,0,610.6,3,0,0
66462.0,1.6675706836144344,1,23.0,10,6.2,6,1,0
41490.0,4.158136121631613,1,22.0,4,7.0,4,1,1
20805.0,0.955586317620096,1,6.0,3,431.3,3,0,0
2020.0,1.0051745475656064,1,13.0,1,41.8,0,0,0
4661.0,1.5003070133774767,0,16.0,0,59.7,3,0,0
16834.0,0.6635475755693767,0,17.0,0,78.2,4,0,0
38079.0,0.5373147631398164,0,9.0,1,70.6,0,1,0
1390.0,0.6845652273630773,0,14.0,1,150.6,3,0,1
37851.0,0.7739665529324458,0,15.0,1,235.5,1,0,0
8778.0,1.025068636450638,0,20.0,1,472.5,1,0,0
22262.0,1.3136306194066574,0,13.0,0,15.3,2,0,0
7724.0,1.2611041597189345,1,18.0,1,232.3,1,0,0
39850.0,1.278352335466793,1,19.0,4,102.6,4,0,0
14653.0,0.8564602259784068,0,11.0,3,136.6,2,0,0
23819.0,0.7072053609425668,0,19.0,1,107.5,3,0,0
1197.0,0.90582540302196,0,10.0,1,628.6,2,0,0
15999.0,4.783101207024461,1,5.0,3,14.1,9,0,1
14902.0,1.0174533953770128,1,11.0,0,406.9,1,0,0
11173.0,0.7221864365753083,0,19.0,2,195.0,2,0,0
73198.0,4.601597828322387,1,2.0,7,42.2,6,1,0
24389.0,1.1364304988142444,0,13.0,0,702.8,3,0,0
9502.0,0.9937458192953709,0,17.0,3,428.1,1,0,0
14778.0,0.3075290953788581,0,19.0,1,450.0,3,1,0
10446.0,0.9672473913616526,0,18.0,1,45.4,2,0,0
112972.0,4.569994017769867,0,5.0,6,20.2,14,1,1
38138.0,1.023726186543323,0,20.0,1,45.3,3,0,0
15640.0,1.2045477262681978,0,14.0,5,144.9,2,0,0
12727.0,0.7300306091682937,0,10.0,3,38.4,2,0,0
31398.0,1.0375573203685882,0,7.0,1,1400.1,2,0,0
22810.0,1.1279557619549503,0,6.0,1,1355.9,1,0,0
3479.0,0.9185400007809,0,17.0,0,33.1,1,0,0
14908.0,0.6823193502514966,0,11.0,0,109.5,0,0,0
8036.0,1.0485858661204266,0,14.0,0,406.5,2,0,0
116991.0,4.074038248079583,1,2.0,5,7.6,8,1,1
17867.0,0.686059065816677,0,15.0,0,69.5,4,0,0
2381.0,1.6038615404525978,1,9.0,2,150.2,4,0,0
77139.0,5.249029964996606,1,23.0,3,57.6,5,1,1
8151.0,1.036979834977287,0,6.0,4,94.0,1,0,0
13515.0,1.2045814287722547,1,11.0,0,294.6,1,0,0
5363.0,0.8268583716801675,0,13.0,4,302.8,6,0,0
3287.0,0.7304813827796619,0,14.0,3,554.6,2,0,0
128979.0,5.531631695310959,1,22.0,6,19.4,7,1,1
9312.0,0.9728000845186563,0,12.0,2,13.2,0,0,0
15878.0,0.5852910058345344,0,12.0,2,254.4,1,0,0
18682.0,1.4002155740629392,0,19.0,2,566.2,0,0,0
8092.0,0.3626558073998424,0,12.0,2,939.1,3,0,0
2231.0,1.5552566991187797,0,7.0,1,583.6,2,0,0
8146.0,0.607084022056728,0,17.0,0,124.3,2,0,0
20048.0,0.6488108649252193,1,18.0,1,497.3,2,0,0
6888.0,0.8684911473642215,0,18.0,1,46.5,1,1,0
9390.0,0.9278513345784875,0,9.0,1,291.1,2,0,0
36519.0,4.798935163543143,0,23.0,11,74.6,8,1,0
47123.0,4.919494172986707,1,3.0,12,2.9,10,0,1
11192.0,1.36196130504507,1,17.0,1,500.8,2,0,0
18962.0,1.0440714542977731,0,16.0,1,9.3,5,0,0
22795.0,0.9369991811338672,0,15.0,2,323.2,1,0,1
7867.0,1.253073933292295,0,17.0,3,39.9,4,0,0
20428.0,10.130437109282553,1,4.0,3,10.9,4,0,1
9732.0,1.346577486295449,1,13.0,3,513.6,1,0,0
3120.0,4.530406949990022,1,0.0,2,18.3,12,0,1
6616.0,0.9277781644744214,0,15.0,3,1317.8,0,0,0
9754.0,0.9719494786083199,0,13.0,3,158.2,3,0,0
18030.0,0.9403562091441835,0,15.0,1,155.2,2,0,0
15599.0,6.411515837316053,1,0.0,3,3.2,11,1,1
18649.0,1.1483189276818693,0,8.0,0,336.4,0,0,0
35822.0,1.0204818137825773,0,23.0,1,122.3,2,0,0
20132.0,0.8973891522497615,1,11.0,0,609.3,0,0,0
29162.0,1.3032812319839193,0,15.0,0,649.6,0,0,0
5296.0,1.050774579897145,0,16.0,1,383.1,2,0,0
24068.0,1.412121722120818,0,11.0,0,14.0,5,0,0
11868.0,0.7250999280300231,0,10.0,2,118.2,3,0,1
7125.0,0.41396060397706214,1,14.0,3,758.3,1,1,0
21831.0,0.9924373528805313,0,14.0,0,120.5,1,0,0
42152.0,1.1850685768728877,1,10.0,3,57.7,4,0,0
1953.0,1.0360735366795053,0,23.0,0,441.0,1,0,0
17688.0,0.7879540539914398,0,13.0,1,826.0,2,0,0
3277.0,1.4057635596708884,1,15.0,1,21.4,0,0,0
47621.0,3.359006967216713,1,3.0,6,18.8,5,0,1
26501.0,0.9745698692127909,0,16.0,1,602.3,1,0,0
7594.0,0.9131690314951084,0,14.0,2,407.2,5,1,0
18613.0,1.1676535214471073,0,8.0,4,416.7,2,0,0
10868.0,1.3697414335912879,0,16.0,1,401.7,2,0,0
2842.0,0.941934060490284,1,13.0,5,267.0,2,0,0
49621.0,4.441226598661355,1,21.0,7,20.5,9,1,1
10755.0,0.36336676566785453,0,18.0,1,24.7,2,0,0
19607.0,1.3674323347984252,0,21.0,1,1310.7,3,0,0
53131.0,3.873294833411797,1,21.0,5,7.9,5,1,0
37824.0,0.7002499912632953,0,17.0,1,234.4,3,0,0
5505.0,0.7968274904744089,0,11.0,3,128.7,2,0,0
12693.0,0.9826142493667298,0,8.0,4,278.5,1,0,0
22869.0,0.921729006373389,1,7.0,1,234.5,2,0,0
15045.0,0.9976753497770464,1,15.0,1,878.2,3,0,0
6323.0,0.8110265866519406,0,9.0,0,106.4,2,0,0
18496.0,1.3067096117773476,0,15.0,1,199.3,4,0,0
29565.0,1.2165682279866281,0,17.0,4,23.2,4,0,0
16776.0,0.8245450416977824,0,7.0,2,604.6,1,0,0
11477.0,1.5755150183575193,0,23.0,5,428.7,1,0,0
7860.0,1.255446617539254,0,14.0,1,1255.9,2,0,0
9969.0,1.089374807986988,0,14.0,0,640.0,2,0,0
9494.0,1.30154292550871,0,20.0,2,269.0,4,0,1
21740.0,0.8615097324414285,0,14.0,2,128.3,4,0,0
18815.0,1.336477812183035,1,12.0,2,67.1,1,0,0
11285.0,0.844625241144422,1,13.0,1,349.6,1,0,0
12638.0,0.7257668037845357,0,12.0,0,1823.3,3,0,0
22979.0,1.1108544296964495,0,10.0,0,130.1,2,0,0
15440.0,0.8940729129123314,0,14.0,1,547.7,1,0,0
80123.0,3.5228232118151075,0,0.0,5,24.3,7,1,1
3481.0,0.9735812790566976,0,19.0,1,60.8,6,0,0
46320.0,0.8299890429562774,0,10.0,1,74.8,1,0,0
2193.0,1.3584532833184904,0,8.0,2,109.9,3,0,0
16723.0,0.9464722444056887,0,17.0,1,704.9,1,0,0
9570.0,1.207425153932539,0,13.0,0,595.7,2,0,0
9935.0,1.0550020764325208,0,15.0,3,249.0,1,0,0
69973.0,1.1102173366120083,0,5.0,2,303.7,2,0,0
8519.0,1.007702670437298,0,16.0,3,109.0,3,0,0
40970.0,5.822928498469211,1,0.0,8,11.0,9,0,1
4822.0,0.7482995917889689,0,9.0,1,43.3,0,0,0
14229.0,0.500763434957083,0,14.0,4,109.8,0,0,0
15762.0,0.7176959788241415,0,14.0,4,32.4,2,0,0
26092.0,3.845645807193118,1,23.0,5,2.0,12,1,1
4607.0,0.7799504295814959,1,9.0,2,295.2,1,0,0
21160.0,5.2674679984989075,1,4.0,4,67.6,12,0,1
80261.0,3.467117852238514,0,1.0,7,13.6,8,0,1
19411.0,2.4693195601803786,1,5.0,4,12.6,8,1,1
2346.0,0.46764527334039474,0,14.0,2,119.8,0,0,0
15044.0,1.0875845560181328,1,11.0,1,210.1,1,0,1
5483.0,0.9926463862621061,0,13.0,1,3453.2,1,0,0
7047.0,0.8724461741596744,0,20.0,0,1312.7,7,0,0
10661.0,0.674290271728111,0,10.0,1,602.4,4,0,0
16734.0,0.9896943869509195,0,15.0,0,478.6,0,0,0
22791.0,1.2003773854333273,0,15.0,1,248.4,4,0,0
23306.0,1.2228017481365456,0,16.0,2,1350.3,2,0,0
62883.0,1.2523434222451626,1,4.0,12,20.3,6,1,1
10151.0,1.0937645012127142,0,9.0,1,957.9,1,0,0
14897.0,0.9898239122657894,1,19.0,2,502.0,1,0,0
14648.0,0.7778048422268566,0,17.0,2,580.9,2,0,0
10539.0,0.8791930179676181,0,9.0,2,899.3,3,0,0
23490.0,1.046682602425157,0,9.0,2,527.8,4,1,0
12952.0,1.3716408134966225,1,11.0,1,267.5,2,0,0
33844.0,0.7231228488577981,0,15.0,1,154.6,1,0,0
132885.0,6.290520364133521,1,23.0,4,8.8,5,0,1
36528.0,4.777117846405632,1,2.0,5,56.5,8,1,1
22631.0,0.8869895259091813,0,13.0,1,138.5,1,0,0
16389.0,0.8347935227276723,0,11.0,0,381.6,0,0,0
20483.0,0.9555335566092549,0,11.0,0,394.1,0,0,0
38174.0,2.930232959603442,1,3.0,7,18.6,6,0,1
13100.0,0.8170267610134634,0,18.0,1,346.1,1,0,0
3826.0,1.2364692721786554,0,15.0,1,518.6,6,0,0
3586.0,1.2921222327071171,0,9.0,0,182.8,3,0,0
7576.0,0.7364651527273551,1,17.0,2,417.6,0,0,0
10508.0,0.5309737188909861,0,9.0,0,13.5,1,0,1
17103.0,0.9086420356503333,0,13.0,2,45.6,2,0,0
7791.0,2.1678304063667464,1,22.0,6,15.3,4,1,1
15443.0,1.0937487884019288,1,13.0,0,123.1,4,0,0
18173.0,0.797864619515333,1,16.0,1,24.5,1,0,0
19259.0,1.2070548499214064,0,11.0,1,874.1,2,0,0
49518.0,3.2325024012371752,1,0.0,6,5.4,8,1,1
8536.0,0.49435990496529514,0,11.0,2,501.8,1,0,0
43635.0,0.5916717834319815,0,11.0,4,504.2,2,0,0
20895.0,0.738461092878705,0,11.0,0,162.8,2,0,0
7417.0,0.6234248586973211,0,22.0,1,155.3,4,0,0
16100.0,1.515459559625287,1,14.0,1,0.5,2,0,0
38309.0,5.570990394196629,1,22.0,6,12.3,4,1,1
5105.0,1.2265193933440424,0,11.0,4,497.6,2,0,0
14497.0,0.9191944977532749,0,18.0,1,164.1,3,0,0
10380.0,1.1089381108960197,0,15.0,4,97.6,5,0,0
8263.0,1.1778859197309444,0,9.0,4,1047.5,2,0,0
7429.0,0.6017996428645871,0,14.0,1,170.6,1,0,0
13788.0,1.341118962911625,0,10.0,0,196.9,1,0,0
22326.0,0.8173103892618587,1,17.0,1,777.2,2,0,0
23292.0,1.5433715842233438,0,16.0,2,521.4,1,0,0
9583.0,1.2015044320266863,0,14.0,1,47.9,4,0,0
131691.0,4.5104199141953485,1,4.0,9,2.3,10,0,1
17786.0,0.9459879278895056,0,16.0,2,347.1,2,1,0
15077.0,1.127855641931467,0,15.0,0,97.8,2,0,0
9522.0,1.0018236016612494,0,10.0,2,183.4,2,1,0
13778.0,0.9049898056241951,0,15.0,0,781.1,2,0,0
11158.0,0.8846627931771651,1,14.0,3,570.0,3,1,0
12254.0,1.2373168139318658,0,18.0,3,35.4,3,0,0
19674.0,1.0393592275881585,0,9.0,1,185.0,1,0,0
28051.0,0.6680205773463537,0,11.0,0,95.7,2,0,0
24983.0,0.9555014297799985,1,13.0,2,61.2,1,0,0
36186.0,0.7633442187701045,0,20.0,0,388.1,2,1,0
7975.0,1.0390051172075851,0,10.0,0,270.7,2,0,0
3360.0,1.1923711008866664,0,20.0,1,81.8,2,0,0
16624.0,0.9724397546408635,0,16.0,1,247.6,2,0,0
11129.0,1.0359439170659301,0,13.0,1,719.1,1,0,0
34403.0,1.2550971828204947,0,17.0,1,104.9,3,0,0
10766.0,0.6841089855920394,1,12.0,1,92.2,1,0,0
22593.0,1.261053368303605,0,9.0,3,151.8,1,1,1
5114.0,0.8710764657478368,0,15.0,1,164.0,2,0,0
41768.0,0.8521545427510566,1,3.0,4,7.4,3,1,1
7150.0,1.4445274348438872,0,14.0,2,18.9,0,0,0
13967.0,0.9230778086402593,0,15.0,2,146.1,3,0,0
17618.0,0.9105304721889479,0,10.0,0,209.4,3,1,0
27824.0,0.7335883163858781,1,7.0,0,888.1,2,0,0
6950.0,1.9772043482471937,1,5.0,6,30.4,7,1,1
16720.0,1.2642430662952338,0,18.0,0,135.2,2,0,0
20024.0,1.0051739960615902,0,17.0,2,324.7,1,0,0
24592.0,0.8535529457981745,0,18.0,1,371.4,5,0,0
16198.0,0.9237339855112641,0,9.0,0,211.1,3,0,0
24835.0,0.785237252914124,0,4.0,1,1767.7,2,0,0
24302.0,1.1485468885230705,1,13.0,0,5.1,1,0,0
1518.0,1.478284968033901,1,7.0,0,114.2,0,0,0
9584.0,1.162265470139723,0,11.0,3,755.5,2,0,0
24731.0,5.150066663691795,1,0.0,3,18.3,4,1,1
33821.0,0.7112529160773794,1,17.0,1,337.6,2,0,0
5282.0,0.756131757183123,0,15.0,0,784.9,1,0,0
35137.0,5.060078336534328,1,23.0,9,23.3,4,0,0
1864.0,0.519868994386476,0,14.0,0,251.0,0,0,0
19359.0,0.41188785000805717,0,14.0,2,152.3,2,0,0
2159.0,0.6675943883019919,0,15.0,1,28.0,0,0,0
35381.0,2.5919004019519734,1,22.0,3,1.6,9,1,1
23952.0,0.9025580426307113,0,11.0,1,729.6,2,0,0
38455.0,1.505559804600337,0,16.0,2,698.8,2,0,0
7702.0,1.0692047384230576,0,23.0,1,2223.8,2,0,0
33122.0,0.6477678937830135,0,11.0,3,360.0,3,0,0
25290.0,6.949379567298113,1,5.0,8,14.7,5,1,1
7412.0,0.9709273787481772,0,17.0,0,689.2,3,0,0
6221.0,0.7588198586896509,1,12.0,3,177.2,1,0,0
12842.0,1.3917557520016448,0,11.0,0,1067.3,3,0,0
15507.0,0.7568347005763248,0,10.0,1,434.7,1,0,0
8729.0,4.836174144194766,1,23.0,3,12.4,9,1,1
46984.0,1.0611176515922267,0,12.0,0,502.1,5,0,0
4802.0,1.4339059089118535,0,7.0,2,46.9,3,0,0
9843.0,0.8548256181469129,1,12.0,1,79.9,4,0,0
