Duree_Connexion,Octets_Source_Vers_Dest,Octets_Dest_Vers_Source,Taux_Paquets_Secondes,Fenetre_TCP_Moyenne,Ports_Dest_Distincts,Connexions_Simultanees,Taux_Erreur_CheckSum,Frequence_SYN_Flags
29798.41,935.09,6439.62,51.32,16384,2,2.0,0.0417,0.0571
5853.44,2022.44,2965.99,57.07,16384,1,7.0,0.0078,0.1352
3799.69,4261.42,3096.95,29.43,8192,2,2.0,0.0079,0.1223
36117.74,9747.7075,1841.58,136.65,2048,0,5.0,0.0247,0.0593
146424.37624999997,1320.63,2388.47,131.84,16384,3,3.0,0.0335,0.1235
18444.77,2459.08,2600.56,108.53,37888,1,2.0,0.0099,0.0619
2766.54,4267.9,6143.62,143.16,2048,1,9.0,0.0057,0.0449
3288.0,2650.65,1840.48,97.24,2048,3,6.0,0.0395,0.1168
76692.45,2465.95,3679.61,55.57,2048,2,8.0,0.0415,0.0891
15036.99,3320.55,2856.21,256.5,16384,6,5.0,0.0317,0.1706
28233.1,3581.63,1053.34,100.55,37888,1,2.0,0.0047,0.1271
146424.37624999997,1750.79,3501.18,49.99,37888,6,5.0,0.0281,0.1271
35094.46,4111.61,156.62,51.4,37888,0,2.0,0.0434,0.0535
26611.82,611.73,5801.77,74.54,4096,2,3.0,0.0168,0.1096
100118.08,3983.51,5779.04,124.96,1024,1,4.0,0.0169,0.0321
87800.83,1127.02,4561.11,3.17,16384,0,6.0,0.0077,0.01
15007.5,2483.37,2321.6,42.28,1024,1,3.0,0.0479,0.0574
81568.41,3658.94,4274.11,157.09,37888,6,4.0,0.0168,0.0632
27414.75,2313.94,3293.97,122.6,4096,1,5.0,0.0169,0.1613
15313.79,3828.8,2704.39,76.29,37888,1,3.0,0.0357,0.0202
129841.01,1829.76,2333.34,139.35,4096,2,4.0,0.0429,0.1994
82290.12,2698.25,7991.15,121.96,2048,0,8.0,0.0053,0.07
10196.42,2528.48,2119.41,8.43,4096,3,3.0,0.07894999999999999,0.1906
42727.94,2407.62,585.25,63.78,16384,2,4.0,0.0494,0.1905
2816.6,9747.7075,6300.52,264.71000000000004,37888,1,8.0,0.0043,0.3319
14919.64,3457.91,985.41,18.32,16384,4,5.0,0.0107,0.1842
98450.32,698.15,6577.76,36.38,2048,5,5.0,0.0124,0.0635
122136.27,2457.14,3429.27,105.6,1024,1,5.0,0.008,0.1916
107933.52,2016.18,952.96,4.69,1024,3,3.0,0.0256,0.0028
3368.57,2270.72,1806.14,181.26,2048,6,2.0,0.0437,0.0482
48811.04,9747.7075,2994.04,264.71000000000004,2048,0,3.0,0.0117,0.3319
146424.37624999997,2605.24,4532.74,26.52,4096,0,5.0,0.0123,0.0274
15712.9,4618.88,214.56,30.11,8192,1,6.0,0.0157,0.1406
52000.68,8307.85,3149.92,106.52,37888,6,7.0,0.0037,0.0574
146424.37624999997,1721.25,2994.66,238.56,2048,6,4.0,0.0135,0.0876
16050.97,2662.25,838.64,141.46,16384,2,6.0,0.0333,0.0311
114154.97,1930.55,1728.29,149.15,1024,4,7.0,0.0322,0.1502
28662.44,2187.16,7063.12,91.41,2048,0,4.0,0.0399,0.0325
62789.86,4093.37,3283.72,97.01,4096,4,4.0,0.0375,0.0671
78674.65,7912.52,495.78,51.87,4096,0,3.0,0.0158,0.0881
17670.28,9747.7075,3557.55,264.71000000000004,8192,3,3.0,0.0227,0.3319
15149.0,3671.93,3674.86,136.98,8192,0,3.0,0.07894999999999999,0.001
62117.72,2907.54,1260.76,23.42,4096,1,10.5,0.0384,0.1883
23104.06,8341.75,1900.58,67.21,2048,1,6.0,0.0023,0.0871
75856.59,1099.84,3076.92,97.02,1024,1,4.0,0.0393,0.1385
598.83,2151.4,6843.66,91.6,8192,0,3.0,0.0326,0.1024
30267.27,9747.7075,4492.51,264.71000000000004,4096,0,4.0,0.0274,0.3319
11791.64,1630.8,8810.01,207.52,37888,6,8.0,0.0006,0.1334
324.8,345.72,2605.02,139.06,2048,6,6.0,0.0308,0.0675
106942.6,1905.06,1950.6,60.97,16384,0,3.0,0.029,0.0408
41510.32,5256.54,5014.33,103.6,16384,2,4.0,0.0355,0.0385
13532.24,5264.34,1347.37,176.93,16384,6,7.0,0.0049,0.1364
67890.51,6053.6,1630.65,148.41,16384,0,4.0,0.0122,0.1401
19987.58,2585.09,5218.59,133.66,37888,0,4.0,0.0398,0.118
5770.99,822.39,5039.33,58.45,1024,2,6.0,0.0479,0.0481
17589.08,1951.55,2943.5,77.7,37888,2,9.0,0.0388,0.1297
117105.99,4636.43,2595.03,99.54,16384,1,8.0,0.0309,0.1542
4180.31,1528.93,3559.84,48.12,4096,3,3.0,0.0103,0.0476
42019.31,7982.7,4035.7,57.83,16384,3,4.0,0.0252,0.1636
36173.36,5926.5,2304.26,100.22,37888,3,5.0,0.0416,0.0894
49360.06,569.39,2781.23,93.07,37888,6,1.0,0.0093,0.1566
67252.49,2973.05,9663.64875,76.46,1024,3,2.0,0.037,0.1435
5292.41,5516.65,896.38,29.38,8192,3,4.0,0.0196,0.12
78687.03,3311.35,4531.19,246.08,2048,6,10.0,0.0077,0.1337
141704.6,1327.66,9663.64875,29.01,1024,2,2.0,0.0171,0.1059
127900.16,989.68,2600.36,26.23,1024,2,7.0,0.0075,0.1179
7829.38,6085.41,4417.91,132.83,16384,2,8.0,0.0321,0.143
47924.62,1766.67,4994.3,116.57,2048,1,6.0,0.0424,0.1723
16500.94,315.13,3171.62,60.39,2048,3,9.0,0.0169,0.0336
16229.45,3467.84,3438.85,3.49,2048,2,5.0,0.0409,0.1418
48953.45,7068.02,887.88,44.78,2048,3,2.0,0.0088,0.0577
13230.41,537.09,8360.28,77.02,16384,1,4.0,0.0079,0.1465
123147.32,2258.94,5264.66,79.25,16384,2,5.0,0.0232,0.0965
56167.3,3836.71,5954.15,121.58,16384,1,5.0,0.0226,0.0385
74352.79,2433.73,1630.44,86.44,1024,1,7.0,0.0055,0.0724
66922.35,9747.7075,3030.42,264.71000000000004,2048,0,6.0,0.0139,0.3319
2560.8,1238.84,6834.58,114.99,16384,1,1.0,0.037,0.1494
36508.69,2613.77,3661.99,22.59,37888,2,8.0,0.0359,0.1879
39659.22,1146.35,1367.19,259.88,4096,6,6.0,0.0351,0.0628
52831.77,691.0,2665.43,139.29,2048,1,3.0,0.0294,0.0335
5393.82,2499.78,429.19,264.71000000000004,8192,6,2.0,0.0062,0.156
9595.67,1390.38,1502.95,31.97,2048,2,3.0,0.0052,0.1937
45137.16,1706.22,2633.33,26.92,16384,4,4.0,0.0178,0.0257
75343.5,4082.98,4929.69,20.56,4096,1,4.0,0.0137,0.1007
5813.79,2951.28,9663.64875,113.4,16384,2,3.0,0.0246,0.1955
79371.25,3436.14,2590.53,99.44,2048,1,2.0,0.0079,0.0923
2556.69,4265.39,4203.61,147.68,16384,1,9.0,0.04,0.1217
118176.49,5475.37,1042.98,71.26,16384,1,3.0,0.0187,0.1185
5109.69,2609.55,4747.36,31.17,37888,0,6.0,0.07894999999999999,0.1399
86578.95,376.0,6693.26,164.5,2048,6,7.0,0.0202,0.0256
14131.8,4779.8,9590.33,77.31,16384,2,7.0,0.0021,0.1952
13392.09,514.44,2211.12,138.06,4096,3,6.0,0.033,0.0393
9924.91,305.77,1603.35,25.33,37888,1,5.0,0.0001,0.1295
29190.38,1998.79,6489.96,2.75,16384,0,4.0,0.0357,0.0306
54198.95,9747.7075,1285.44,264.71000000000004,4096,0,8.0,0.0355,0.3319
50630.67,7933.58,1826.93,112.33,4096,3,6.0,0.0086,0.0951
65519.07,3260.48,1639.35,48.21,4096,1,2.0,0.0144,0.0358
33408.41,1233.94,781.81,8.23,4096,3,8.0,0.0349,0.0175
22628.51,1090.59,3612.43,30.87,16384,2,4.0,0.0381,0.0733
16026.79,5134.73,1946.28,99.52,16384,3,3.0,0.0208,0.1888
34680.88,524.6,1693.61,143.74,4096,1,5.0,0.0148,0.1108
48191.13,4267.46,2677.09,108.5,37888,1,4.0,0.0489,0.0654
146424.37624999997,9747.7075,3627.54,264.71000000000004,4096,1,5.0,0.0393,0.3319
139073.51,2538.39,9663.64875,94.63,4096,0,6.0,0.0294,0.0763
34313.31,2378.8,2305.64,40.99,4096,0,4.0,0.038,0.0811
3841.12,3300.09,3767.87,106.88,2048,2,3.0,0.0223,0.0244
2929.03,1316.68,6410.56,8.71,8192,3,2.0,0.0246,0.081
900.43,1023.31,1048.98,58.04,4096,3,2.0,0.0272,0.1927
6407.27,9747.7075,1643.44,205.52,8192,1,6.0,0.0013,0.3319
41.22,2582.0,9663.64875,52.72,4096,1,2.0,0.0443,0.1326
4686.45,3480.28,5486.41,82.37,2048,1,7.0,0.0175,0.0766
146424.37624999997,3571.52,3715.99,121.8,37888,3,9.0,0.0422,0.0439
146424.37624999997,6426.76,6380.94,107.39,16384,3,3.0,0.0499,0.0933
12130.97,1538.02,7161.51,7.31,1024,2,5.0,0.0098,0.1096
10731.16,3829.39,4196.4,94.4,16384,0,2.0,0.0028,0.0617
15364.01,4658.96,2605.93,100.17,8192,1,10.0,0.0415,0.1642
8804.36,2953.43,2838.24,11.66,1024,2,5.0,0.0135,0.1922
92913.54,6393.52,9663.64875,55.79,4096,2,4.0,0.0352,0.0986
3191.36,1175.21,377.84,28.62,37888,0,6.0,0.0054,0.1831
105278.77,2655.96,2126.74,242.05,2048,6,6.0,0.0227,0.0429
54744.1,3945.53,4441.66,133.35,4096,3,10.5,0.0411,0.1036
12545.68,9747.7075,1347.22,264.71000000000004,1024,2,8.0,0.0259,0.3319
146424.37624999997,2948.67,3352.69,84.88,16384,3,1.0,0.0098,0.1477
25695.56,5354.4,2254.68,13.59,1024,0,8.0,0.0213,0.064
23490.7,452.61,1700.54,70.69,16384,6,7.0,0.0483,0.0094
6044.07,9747.7075,9017.71,264.71000000000004,8192,3,5.0,0.0487,0.3319
46694.0,3267.91,722.01,206.98,16384,6,5.0,0.0093,0.1506
76367.72,2926.74,890.77,21.6,37888,1,8.0,0.0412,0.0747
7049.5,2578.87,2633.41,106.25,4096,5,5.0,0.0249,0.1779
1065.23,3363.44,1586.9,54.98,16384,4,3.0,0.0132,0.0833
42577.69,2226.81,6555.75,264.71000000000004,1024,6,9.0,0.0348,0.0951
7759.6,7041.82,1346.17,132.73,8192,1,7.0,0.0448,0.0797
14130.78,2449.17,1320.33,3.74,2048,2,7.0,0.0241,0.0697
3037.55,3551.83,170.03,97.61,8192,2,3.0,0.0389,0.1257
12158.72,3823.5,3672.44,58.64,16384,1,8.0,0.0225,0.1819
20660.6,2155.07,3777.53,89.12,2048,3,3.0,0.007,0.1583
76301.98,9747.7075,3926.58,264.71000000000004,16384,0,7.0,0.0094,0.3319
112096.0,1872.94,4330.9,154.12,4096,6,4.0,0.0133,0.0589
12782.8,9747.7075,1254.29,64.08,2048,4,6.0,0.022,0.0848
100417.75,2551.52,1759.97,44.22,1024,6,7.0,0.0095,0.0925
36396.54,2429.98,8407.94,37.51,8192,4,7.0,0.021,0.1208
13476.3,1991.75,3427.88,72.84,37888,2,3.0,0.0244,0.1786
146424.37624999997,9747.7075,2122.86,264.71000000000004,37888,1,4.0,0.0466,0.3319
3613.47,3428.98,1358.93,31.3,1024,1,7.0,0.0086,0.064
77085.86,276.36,481.03,25.63,2048,1,8.0,0.0202,0.0358
40476.18,3243.17,4494.59,57.24,4096,4,4.0,0.0328,0.1451
5374.98,4919.19,5154.62,62.72,37888,3,3.0,0.0268,0.1271
21438.24,1201.13,516.48,115.73,2048,3,5.0,0.021,0.0787
22900.36,2573.84,397.73,28.3,16384,3,4.0,0.0487,0.1287
51627.55,3478.44,929.14,67.5,1024,3,4.0,0.0355,0.1778
1154.37,2021.21,5647.54,18.52,16384,0,6.0,0.0401,0.1859
51149.83,4734.07,2767.53,123.29,1024,1,3.0,0.0016,0.171
146424.37624999997,1802.96,2162.29,73.23,8192,6,4.0,0.0255,0.0854
35645.32,121.14,5244.38,101.52,8192,2,5.0,0.0137,0.0231
32429.54,4347.88,2568.23,126.85,16384,3,3.0,0.0233,0.0395
60022.38,4200.97,3755.74,70.06,8192,3,3.0,0.0479,0.0676
36164.14,3109.37,3101.3,142.53,8192,1,3.0,0.0221,0.1165
50692.31,6961.14,7745.47,253.45,4096,6,2.0,0.016,0.1467
17938.37,1170.7,1555.18,86.33,1024,2,2.0,0.0132,0.1911
12364.09,6132.98,1666.52,65.25,1024,4,4.0,0.0433,0.1192
30824.14,96.14,1887.1,13.68,8192,1,4.0,0.0385,0.0203
36157.75,4058.97,1721.09,187.41,4096,6,7.0,0.0153,0.197
58101.12,4068.11,4222.43,22.77,4096,0,6.0,0.0154,0.0469
21865.21,1400.59,7339.63,130.13,37888,5,9.0,0.0008,0.0398
15595.97,3029.95,5084.05,18.76,37888,2,9.0,0.0252,0.1154
20411.93,3734.67,795.1,26.93,16384,1,6.0,0.0338,0.1383
2311.93,4052.25,925.58,217.68,2048,6,6.0,0.0485,0.04
128869.7,2592.15,982.98,124.28,8192,2,8.0,0.0459,0.1646
18281.37,3661.08,1839.66,53.47,1024,1,6.0,0.0003,0.1035
14064.66,2344.39,4455.81,72.77,8192,1,4.0,0.0494,0.1962
53955.06,2915.39,196.83,36.43,1024,3,6.0,0.0326,0.0396
3973.89,856.24,1551.66,93.17,4096,4,5.0,0.0482,0.0952
42423.08,5455.88,3569.63,136.04,1024,0,1.0,0.0081,0.1659
46071.85,1773.92,4400.59,142.49,1024,4,4.0,0.0189,0.0023
79898.85,2128.7,3749.67,141.2,8192,3,5.0,0.0253,0.0842
60986.64,1951.6,4300.38,81.41,4096,0,3.0,0.021,0.1864
20061.56,1299.97,1298.78,146.67,4096,6,5.0,0.0164,0.0413
124222.78,2180.38,9663.64875,21.0,8192,4,8.0,0.0108,0.1118
66067.94,3873.94,1111.35,98.32,2048,2,3.0,0.0391,0.0706
13471.75,1660.49,2926.84,63.58,37888,2,6.0,0.0072,0.1177
91987.79,358.61,2371.55,133.75,4096,1,9.0,0.0143,0.1673
4069.65,5244.13,1984.65,112.82,8192,1,7.0,0.0415,0.1378
146424.37624999997,1707.53,4894.1,52.66,16384,1,5.0,0.0359,0.1742
14915.65,647.68,3306.9,65.33,1024,2,5.0,0.0445,0.0018
20867.12,909.36,8266.6,106.45,37888,2,3.0,0.0107,0.172
25778.95,7228.0,3855.44,107.1,4096,2,3.0,0.0402,0.0347
131223.94,4180.36,3570.19,8.59,2048,2,4.0,0.0085,0.1031
40136.23,9747.7075,9663.64875,264.71000000000004,2048,1,5.0,0.0177,0.3319
27286.06,1089.15,1367.14,42.58,1024,0,8.0,0.0335,0.1133
97743.51,5225.53,6841.05,17.67,8192,1,7.0,0.0053,0.1057
16527.35,2937.5,188.68,264.71000000000004,1024,6,4.0,0.0044,0.1912
146424.37624999997,1111.0,6471.49,118.07,1024,0,3.0,0.0197,0.1233
15687.15,5802.47,4263.52,34.8,4096,4,4.0,0.0495,0.0367
68840.58,5652.34,516.36,134.21,1024,6,1.0,0.0268,0.1207
9705.1,2908.3,2073.55,12.61,16384,0,7.0,0.0173,0.1854
39713.83,1337.71,7119.15,146.43,2048,5,8.0,0.0097,0.1867
62003.76,8246.97,2088.01,264.71000000000004,2048,6,10.5,0.0447,0.1182
12450.83,2174.77,1278.41,29.09,16384,1,6.0,0.0325,0.0118
37630.01,9747.7075,3558.61,264.71000000000004,16384,1,2.0,0.0217,0.3319
120635.12,797.96,8949.27,120.94,4096,2,5.0,0.0118,0.0284
28222.47,8153.8,4832.21,103.18,2048,2,5.0,0.0235,0.1714
103104.58,1071.35,4224.09,75.33,2048,0,5.0,0.0212,0.0498
25688.48,2025.29,6272.46,49.59,2048,2,3.0,0.07894999999999999,0.0233
112041.62,9747.7075,6353.65,264.71000000000004,37888,1,5.0,0.0325,0.3319
13508.09,528.86,3678.48,62.85,1024,0,8.0,0.0439,0.063
146424.37624999997,1631.42,4138.76,36.35,37888,2,4.0,0.037,0.1767
40098.27,2689.7,3092.62,61.4,16384,3,4.0,0.0187,0.0778
55820.46,3631.31,1869.4,82.9,16384,1,4.0,0.0061,0.1961
95343.84,2921.29,3041.38,6.83,8192,0,4.0,0.0292,0.1519
19993.05,2053.5,2506.87,127.53,8192,3,3.0,0.015,0.0335
74561.07,4167.06,3812.18,15.99,1024,3,2.0,0.0382,0.0165
146424.37624999997,786.94,1302.09,130.49,16384,2,9.0,0.0403,0.0096
25290.18,5052.21,2752.74,148.48,37888,3,4.0,0.0484,0.1301
33862.14,1402.79,1220.29,229.64,8192,6,2.0,0.032,0.1564
61292.13,1215.24,2854.62,41.27,2048,1,4.0,0.032,0.1565
80836.81,3344.67,1883.54,192.12,37888,6,3.0,0.0017,0.0983
126961.7,6209.9,2322.74,45.76,37888,3,4.0,0.0297,0.0793
48767.5,6829.63,4202.31,64.89,8192,5,2.0,0.0068,0.099
36633.21,4507.71,2828.83,66.08,16384,2,4.0,0.007,0.0915
41595.71,7377.12,697.27,91.36,37888,5,3.0,0.0289,0.0541
9300.82,4761.58,1940.61,72.16,1024,1,2.0,0.0086,0.1922
17027.14,9747.7075,1691.88,264.71000000000004,8192,0,5.0,0.0413,0.3319
116339.42,1898.08,2936.17,85.44,8192,3,4.0,0.0497,0.1976
32972.83,1515.86,2381.29,20.66,8192,1,5.0,0.0055,0.0115
11243.28,1994.41,1154.47,95.68,2048,4,3.0,0.0021,0.1281
52876.22,3151.7,3907.84,128.02,2048,2,5.0,0.0279,0.0434
56881.11,3223.39,2246.04,135.86,8192,2,6.0,0.0474,0.016
91648.18,1228.48,629.38,39.74,2048,3,5.0,0.0324,0.1912
38278.01,4467.18,3883.72,158.4,4096,6,6.0,0.032,0.087
55887.14,1768.29,3497.75,138.0,4096,0,5.0,0.0485,0.0653
8813.96,404.12,980.88,25.06,4096,1,6.0,0.0108,0.0863
53301.81,2509.37,2108.16,74.38,2048,0,5.0,0.0322,0.13
2095.54,9747.7075,3962.21,264.71000000000004,16384,2,1.0,0.0308,0.3319
101795.63,6844.87,3240.16,86.8,2048,1,2.0,0.0104,0.067
112747.55,4203.7,3519.74,135.65,16384,1,4.0,0.0361,0.12
8174.86,7582.63,2610.09,149.54,2048,3,3.0,0.0051,0.0561
28949.49,8168.19,311.16,59.4,8192,1,5.0,0.0194,0.0165
146424.37624999997,4032.43,753.17,144.87,2048,5,6.0,0.0287,0.1329
146424.37624999997,842.27,2935.34,144.9,2048,2,4.0,0.0167,0.0881
19474.12,1049.01,4956.87,70.36,37888,1,3.0,0.0365,0.0828
31166.48,3274.94,2347.41,137.76,37888,0,2.0,0.0376,0.0968
60422.29,3054.74,3726.19,65.0,1024,1,7.0,0.042,0.1465
25707.95,4236.46,4337.19,106.43,8192,3,7.0,0.0105,0.0119
146424.37624999997,9747.7075,7824.24,264.71000000000004,4096,2,2.0,0.0246,0.3319
78715.96,665.04,5085.26,15.02,8192,1,3.0,0.0467,0.1603
12139.53,1124.01,3717.34,16.56,37888,3,8.0,0.0476,0.189
46772.27,391.59,8157.33,76.97,37888,2,3.0,0.0152,0.1142
17171.05,4518.22,4274.52,91.37,16384,0,3.0,0.07894999999999999,0.006
33489.67,615.46,1328.11,33.9,2048,1,1.0,0.0124,0.1795
53357.24,1866.38,857.1,264.71000000000004,8192,6,1.0,0.0313,0.1539
9865.21,2429.58,4951.36,144.88,37888,1,2.0,0.0034,0.1627
72827.82,3343.58,3842.68,61.74,37888,4,7.0,0.0399,0.101
12234.52,1197.76,177.26,72.03,37888,4,5.0,0.07894999999999999,0.1691
767.61,1304.27,5282.73,64.76,4096,3,6.0,0.0222,0.0215
2752.17,2756.31,1246.38,62.64,4096,1,5.0,0.0038,0.0822
31013.56,2876.29,6745.91,92.19,2048,1,4.0,0.0389,0.1142
30967.64,6718.56,2291.65,67.89,8192,1,3.0,0.0295,0.0347
20576.69,9747.7075,2226.4,264.71000000000004,1024,2,3.0,0.0113,0.3319
1725.74,9747.7075,4358.67,264.71000000000004,2048,1,9.0,0.0163,0.3319
7161.29,6461.38,3789.94,134.23,1024,3,4.0,0.03,0.1007
24422.49,9747.7075,9663.64875,264.71000000000004,1024,2,6.0,0.0118,0.3319
30346.04,767.22,3331.41,141.67,37888,3,3.0,0.0408,0.1963
37034.43,1294.83,4743.42,128.65,1024,3,10.0,0.0488,0.1555
3527.66,5020.45,909.88,23.47,37888,1,7.0,0.0112,0.1126
146424.37624999997,873.7,7603.74,89.84,37888,1,6.0,0.0324,0.1422
31177.43,9747.7075,283.11,49.96,2048,2,4.0,0.0098,0.0161
8917.0,9747.7075,1398.43,264.71000000000004,37888,4,1.0,0.0335,0.3319
68231.74,2324.29,3666.14,16.92,37888,4,5.0,0.0137,0.1076
122973.69,6022.67,2833.72,160.19,16384,6,3.0,0.011,0.0488
35063.48,604.08,7628.66,14.14,8192,0,3.0,0.0404,0.027
7738.59,5162.59,2683.13,73.26,2048,3,4.0,0.0106,0.1279
113479.34,9747.7075,2441.14,246.08,8192,0,2.0,0.045,0.3319
146424.37624999997,6264.58,630.29,145.06,37888,5,8.0,0.0431,0.022
53646.14,9747.7075,1224.51,264.71000000000004,1024,5,2.0,0.0069,0.3319
46325.59,988.24,4292.85,82.0,8192,3,4.0,0.0244,0.0613
30920.95,3207.98,1947.39,264.71000000000004,37888,6,7.0,0.0074,0.1837
105927.2,5250.92,4339.98,174.74,8192,6,5.0,0.0071,0.0677
29643.42,9747.7075,1859.54,264.71000000000004,4096,4,4.0,0.0318,0.3319
14954.84,3797.02,1861.76,18.84,16384,2,10.0,0.0098,0.186
49389.84,1935.68,1395.29,27.95,37888,1,3.0,0.0441,0.0711
20272.95,569.23,2271.4,132.35,8192,1,7.0,0.0488,0.0384
31408.02,6706.58,7755.53,26.64,8192,0,5.0,0.0013,0.1644
115511.48,1253.47,1753.35,264.2,1024,6,3.0,0.0056,0.0491
63530.45,3415.9,5059.47,108.23,2048,0,6.0,0.0149,0.1835
27424.46,4002.03,511.11,112.88,2048,1,2.0,0.0076,0.008
32392.54,3649.0,2656.1,60.87,37888,6,4.0,0.0199,0.0725
5300.96,4579.89,4650.34,115.0,8192,1,7.0,0.0004,0.144
