Duree_Connexion,Octets_Source_Vers_Dest,Octets_Dest_Vers_Source,Taux_Paquets_Secondes,Fenetre_TCP_Moyenne,Ports_Dest_Distincts,Connexions_Simultanees,Taux_Erreur_CheckSum,Frequence_SYN_Flags,Horodatage,Pays,Departement,Appareil
28949.49,8168.19,311.16,59.4,8192,1,5,0.0194,0.0165,2026-08-20 20:49:10,Cote d'Ivoire,Finance,Laptop
102786.38,4964.07,6046.13,126.02,1024,2,2,0.0313,0.1399,2026-08-23 12:18:28,Cote d'Ivoire,Finance,Laptop
179041.2,912.08,1032.86,144.0,2048,3,7,0.0492,0.0387,2026-08-22 13:22:09,Etats-Unis,IT,Laptop
2163.8,14483.03,290.31,682.82,16384,3,6,0.0081,0.7234,2026-08-19 14:47:36,Cote d'Ivoire,IT,Switch
139051.16,2927.71,5558.02,124.2,16384,1,7,0.0259,0.043,2026-08-21 03:57:28,Russie,Finance,Mobile
59396.12,4211.36,2197.92,131.29,1024,3,6,0.0219,0.1841,2026-08-17 05:47:53,France,Direction,Switch
96126.32,6434.77,3573.92,124.39,4096,3,4,0.0071,0.1058,2026-08-22 07:50:40,Cote d'Ivoire,Support Client,Mobile
16744.28,5663.52,2845.8,71.25,65535,3,13,0.0098,0.1163,2026-08-23 06:34:43,Cote d'Ivoire,Support Client,Firewall
53081.88,2769.46,4572.73,162.75,2048,175,10,0.013,0.123,2026-08-19 22:36:56,Ghana,Finance,Laptop
31903.59,1779.56,2633.12,70.52,65535,80,1,0.0089,0.0526,2026-08-17 09:41:38,Cote d'Ivoire,Finance,Laptop
90589.74,2747.52,563.15,96.27,1024,1,4,0.0311,0.1755,2026-08-18 05:25:11,Senegal,Finance,Serveur
41348.89,89344.32,1818.34,379.99,2048,1,4,0.0349,0.9393,2026-08-19 02:16:09,Nigeria,RH,Mobile
1801.57,1974.31,7136.06,211.96,65535,26,4,0.0131,0.1941,2026-08-17 11:11:57,Ghana,Support Client,Serveur
223.74,49598.65,2369.73,787.49,4096,1,4,0.0056,0.7193,2026-08-21 04:19:57,Cote d'Ivoire,IT,Serveur
49704.31,785.47,7435.8,124.21,2048,0,3,0.0035,0.1886,2026-08-20 10:57:20,Nigeria,Support Client,Serveur
8871.5,7113.15,6774.54,265.01,8192,189,7,0.0429,0.0617,2026-08-17 06:18:24,France,Finance,Serveur
34498.76,1494.88,2959.32,110.44,8192,0,3,0.0107,0.1649,2026-08-23 01:58:34,Etats-Unis,IT,Firewall
78820.52,1317.83,7998.57,111.44,1024,4,4,0.0327,0.1718,2026-08-21 16:25:07,Ghana,Finance,Mobile
48698.9,3751.26,3660.87,86.17,4096,1,6,0.0208,0.0587,2026-08-20 08:12:20,Nigeria,RH,Serveur
4781.25,920.07,6873.68,71.36,1024,192,7,0.0185,0.1597,2026-08-20 00:45:56,Chine,IT,Laptop
29644.1,1110.95,2014.03,103.25,4096,0,1,0.3182,0.1614,2026-08-18 13:15:37,Russie,Direction,Serveur
4794.83,1339.4,1487.38,55.91,16384,1,9,0.022,0.0747,2026-08-17 16:34:49,Ghana,Finance,Serveur
17389.71,960.83,6125.6,125.54,8192,0,7,0.1688,0.0857,2026-08-22 11:21:01,Nigeria,Finance,Switch
4724.13,1451.87,953.22,36.11,16384,1,3,0.0226,0.1555,2026-08-19 05:15:47,Cote d'Ivoire,IT,Laptop
3435.67,1108.62,9652.1,115.8,16384,2,5,0.0495,0.0585,2026-08-22 08:24:09,Cote d'Ivoire,Direction,Serveur
26512.05,1285.41,2236.34,67.35,16384,1,1,0.0327,0.0594,2026-08-17 04:41:08,Cote d'Ivoire,Finance,Firewall
9555.91,642.87,4602.3,139.09,16384,1,5,0.004,0.1776,2026-08-18 02:07:05,Russie,Finance,Switch
123394.13,4276.16,2509.28,85.33,2048,2,3,0.0298,0.1193,2026-08-16 23:48:48,Russie,Support Client,Laptop
107439.11,4778.57,715.12,129.97,1024,3,2,0.0268,0.1289,2026-08-23 05:40:44,Cote d'Ivoire,Finance,Laptop
9675.96,46489.55,2211.85,750.22,1024,0,7,0.0317,0.7368,2026-08-18 01:37:35,Cote d'Ivoire,Finance,Laptop
90431.72,36659.31,1500.91,939.45,16384,3,2,0.0037,0.8116,2026-08-23 14:10:39,Ghana,IT,Mobile
13217.49,174.32,513.87,33.24,4096,1,4,0.0326,0.1824,2026-08-19 02:32:05,Nigeria,Support Client,Serveur
