"Duree_Connexion","Octets_Source_Vers_Dest","Octets_Dest_Vers_Source","Taux_Paquets_Secondes","Fenetre_TCP_Moyenne","Ports_Dest_Distincts","Connexions_Simultanees","Taux_Erreur_CheckSum","Frequence_SYN_Flags","Statut_Menace"
5328.14,4165.27,599.1,80.34,2048,3,8,0.0159,0.0476,"0"
29381.69,1219.05,1267.13,57.32,1024,3,7,0.1293,0.1216,"3"
82868.55,11885.04,10576.91,630.35,8192,1,5,0.0484,0.7537,"2"
27880.9,3346.43,1589.4,142.27,2048,0,4,0.0391,0.0981,"0"
39215.58,2077.73,1163.03,40.75,65535,2,2,0.0366,0.017,"0"
24761.97,2277.99,2589.16,17.65,16384,3,10,0.1483,0.192,"3"
68900.17,931.59,1353.48,126.1,1024,80,3,0.0228,0.1052,"1"
140065.08,7482.04,744.89,131.17,8192,2,4,0.0454,0.1457,"0"
66802.49,41724.47,3069.72,743.68,2048,3,1,0.047,0.9128,"2"
63163.56,2200.48,9172.41,72.33,2048,0,3,0.0023,0.1803,"0"
14235.69,4300.83,5715.5,106.68,65535,0,1,0.0284,0.0787,"0"
146126.86,1576.62,2087.69,93.34,16384,5,5,0.011,0.0535,"0"
128407.89,22296.43,1748.87,684.72,16384,3,3,0.0334,0.7124,"2"
145.49,1965.19,2924.52,80.11,16384,5,6,0.0439,0.0193,"0"
823.79,97263.79,5559.84,834.04,2048,0,3,0.0288,0.8105,"2"
5891.15,6610.74,4818.11,135.35,8192,1,4,0.0411,0.1794,"0"
51945.62,1484.65,1004.7,69.84,8192,1,4,0.0318,0.0195,"0"
19829.28,6984.33,1712.48,106.75,16384,3,0,0.009,0.0788,"0"
41603.33,2464.6,3175.97,8.85,65535,1,6,0.0255,0.1075,"0"
19148.61,774.77,812.01,53.35,8192,3,5,0.119,0.1244,"3"
14152.22,6935.45,4029.86,74.07,8192,1,5,0.0214,0.1521,"0"
2589.52,2405.39,291.83,95.23,4096,3,1,0.0135,0.1013,"0"
13782.14,3810.76,8663.3,119.07,16384,2,7,0.0272,0.0479,"0"
17126.11,1002.46,2604.31,73.36,16384,0,7,0.0454,0.0555,"0"
140310.76,481.18,2341.63,15.1,65535,2,2,0.0298,0.0505,"0"
NA,65897.12,4967.86,496.35,16384,4,7,0.0051,0.946,"2"
57789.51,3502.67,2483.23,84.78,65535,3,2,0.042,0.0257,"0"
19713.28,5893.7,3248.84,38.2,65535,1,6,0.0474,0.0529,"0"
28382.29,43834.42,5953.08,264.01,65535,9,7,0.0329,0.7004,"2"
12942.86,3559.27,10851.91,113.54,1024,1,2,0.1553,0.0032,"3"
3909.89,2256.96,3255.19,42.21,8192,3,5,0.0024,0.0291,"0"
60369.86,4514.84,12225.93,25.3,8192,2,7,0.0105,0.0596,"0"
154169.14,4174.61,1705.74,39.19,16384,1,2,0.0196,0.0075,"0"
132807.11,3065.43,6042.36,52.84,1024,3,5,0.0275,0.1586,"0"
30211.31,39154.59,2812.46,547.21,8192,3,9,0.026,0.8195,"2"
22676.35,6232.54,534.55,98.9,65535,146,6,0.0015,0.1298,"1"
42404.44,2908.48,1493.94,33.47,4096,1,4,0.0494,7e-04,"0"
32582.02,3168.84,2122.71,50.44,65535,1,6,0.0372,0.0837,"0"
2488.78,5085.84,4849.03,18.21,65535,2,5,0.0225,0.1596,"0"
203558.6,3771.42,1181.94,16.01,16384,4,4,0.0235,0.1321,"0"
38820.51,6631.01,7344.43,60.47,4096,0,10,0.0368,0.0997,"0"
11001.45,1789.65,7.01,5.12,4096,2,5,0.0197,0.183,"0"
37093.87,787.99,10824.57,176.61,1024,123,2,0.0337,0.1941,"1"
15655.36,5419.69,1702.41,141.65,2048,5,2,0.1567,0.0089,"3"
76547.6,1985.1,1989.91,137.69,8192,4,9,0.0458,0.1284,"0"
143108.15,3189.67,3620.92,10.82,4096,3,2,0.0087,0.0028,"0"
19669.73,5533.99,5027.63,149.11,8192,1,4,0.1855,0.0728,"3"
64096.62,4383.84,510.06,128.41,4096,0,4,0.0157,0.0552,"0"
133932.08,2248.21,1841.45,51.92,65535,2,5,0.0115,0.1168,"0"
86842.05,4271.99,4247.02,137.03,1024,58,3,0.0108,0.062,"1"
10548.72,83743.77,2237.92,864.9,8192,1,8,0.0194,0.7433,"2"
75584.26,97695.7,704.33,871.12,8192,1,5,0.0465,0.7452,"2"
5162.7,748.38,2082.54,107.16,8192,2,10,0.0153,0.0859,"0"
14409.49,66845.18,6894.5,256.3,16384,1,6,0.0323,0.8229,"2"
96653.71,47874.02,833.78,602.01,1024,0,8,0.0246,0.9113,"2"
10768.33,2912.57,1597.27,107.86,2048,0,6,0.01,0.1037,"0"
14206.29,944.63,3496.73,98.99,4096,2,4,0.0041,0.0786,"0"
72572.55,4293.4,1110.36,80.69,4096,3,9,0.0046,0.1961,"0"
19916,96385.88,4328.65,944.59,16384,0,4,0.0116,0.7034,"2"
78323.04,62952.44,50.57,618.15,2048,2,4,0.0144,0.7259,"2"
141191.34,2033.42,2471.25,147.06,2048,2,2,0.0102,0.1542,"0"
5564.17,2552.97,276.2,120.86,8192,1,5,0.0148,0.017,"0"
108882.43,91534.37,5506.37,741.85,65535,0,4,0.0096,0.9929,"2"
110397.12,2151.37,1799.43,30.98,4096,2,5,0.0292,0.0875,"0"
12885.09,815.85,6424.53,155.07,4096,80,5,0.0455,0.0317,"1"
116584.85,1475.25,914.47,36.89,16384,2,5,0.0308,0.1608,"0"
4553.75,2799.1,892.47,11.16,8192,2,3,0.0225,0.0881,"0"
75694.11,4031.51,724.26,89.34,65535,0,5,0.03,0.1665,"0"
100672.84,967.04,985.53,68.43,65535,3,4,0.0058,0.0359,"0"
62499.77,6057.65,2800.87,24.31,16384,1,5,0.0146,0.1188,"0"
59671.58,1815.93,3038.47,99.71,4096,2,2,0.0379,0.1623,"0"
111353.01,5848.47,1446.82,223.19,65535,187,1,0.044,0.0198,"1"
76341.57,3508.24,507.19,46.92,65535,1,5,0.0095,0.0516,"0"
18735.82,3827.37,5976.14,40.43,1024,1,5,0.0467,0.1152,"0"
18067.87,332.06,4648.29,134.34,65535,4,4,0.0073,0.054,"0"
31512.61,6104.24,7618.51,25.16,65535,3,3,0.0204,0.0842,"0"
48029.44,4228.83,485.33,95.21,16384,2,5,0.026,0.0971,"0"
154286.42,1072.12,3296.96,90.3,2048,43,7,0.0026,0.1403,"1"
114728.73,395.92,2867.76,6.62,4096,2,6,0.023,0.057,"0"
18041.08,4761.01,872.78,273.49,2048,142,11,0.0053,0.0615,"1"
58281.9,2870.6,4912.38,57.95,2048,3,6,0.027,0.0615,"0"
43291.34,4570.35,1700.1,29.66,4096,1,9,0.0174,0.0939,"0"
20290.8,878.12,4930.18,22.36,8192,2,4,0.0267,0.0903,"0"
40542.43,209.53,1157.13,102.82,4096,1,5,0.0294,0.0699,"0"
22400.46,1849.37,4941.88,30.96,8192,0,1,0.0381,0.1606,"0"
24659.15,2682.06,2203.56,28.77,16384,2,4,0.1393,0.1907,"3"
35805.97,4085.07,2308.95,46.02,1024,1,3,0.0417,0.1144,"0"
22207.13,2276.55,3477.66,86.62,8192,1,7,0.0378,0.1667,"0"
101386.13,1485.99,4423.68,91.55,2048,1,4,0.0144,0.0062,"0"
68619.53,4590.44,1073.69,72.78,4096,3,3,0.0181,0.0513,"0"
9409.93,4525.11,8960.24,51.94,65535,2,4,0.0469,0.0078,"0"
17059.62,3766.41,772.33,83.31,1024,1,1,0.049,0.0038,"0"
24873.12,2959.11,1756.65,130.18,4096,4,4,0.0022,0.1723,"0"
39409.17,5995.89,2315.89,112.29,16384,4,1,0.0349,0.1011,"0"
15711.15,1921.58,585.19,25.48,8192,0,5,0.3283,0.0733,"3"
9704.93,4467.08,6194.1,39.17,16384,0,3,0.3695,0.0954,"3"
20616.22,3481.88,1729.17,99.66,2048,6,7,0.0416,0.0517,"0"
14906.67,661.75,3692.82,23.23,4096,0,1,0.0298,0.0471,"0"
195637.21,1237.82,1040.28,18.69,1024,3,5,0.0231,0.091,"0"
6246.28,11010.44,5009.59,5.11,1024,1,2,0.0411,0.166,"0"
15062.56,3483.92,1407.74,49.6,2048,3,6,0.0435,0.1017,"0"
30176.43,2398.95,5184.93,124.85,1024,0,4,0.0395,0.1571,"0"
3398.43,1330.74,1190.55,16.46,65535,2,4,0.0041,0.0292,"0"
133713.9,1716.73,4879.97,147.53,1024,4,6,0.0011,0.1034,"0"
110733.78,59151.84,2510.48,933.26,1024,2,4,0.0393,0.7464,"2"
6295.41,3930.78,5251.61,94.05,8192,0,2,0.0445,0.0057,"0"
21875.17,4743.05,4025.71,96.22,1024,2,3,0.0362,0.1328,"0"
8958.6,3116.78,4724.15,16.31,4096,2,7,0.1705,0.0775,"3"
14554.4,11516.36,8809.47,37.48,65535,4,1,0.0353,0.0839,"0"
9372.6,582.68,7304.37,23.45,16384,3,6,0.0419,0.1071,"0"
676.36,494.02,2770.77,9.65,65535,0,3,0.0343,0.0987,"0"
153674.96,815.26,8655.35,17.64,1024,4,7,0.0327,0.0427,"0"
491.29,2472.03,5016.07,106.98,4096,1,3,0.0041,0.0375,"0"
13104.99,3182.72,11690.65,115.87,1024,2,10,0.0469,0.1232,"0"
53247.8,910.15,4319.12,107.36,16384,2,5,0.0475,0.0472,"0"
33876.9,2930.66,4046.29,149.88,65535,1,5,0.007,0.1287,"0"
113684.55,2379.13,2216.28,24.34,4096,1,6,0.0438,0.1996,"0"
21799.91,2878.43,3685.44,95.58,16384,5,2,0.0282,0.1022,"0"
32422.05,1523.1,10099.9,143.1,16384,1,5,0.0156,0.0762,"0"
8305.43,76716.24,2764.33,361.1,2048,1,7,0.0187,0.9445,"2"
28032.65,2399.39,2635.43,171.36,4096,115,4,0.018,0.0906,"1"
38278.01,4467.18,3883.72,158.4,4096,132,6,0.032,0.087,"1"
33812.25,4247.76,6207.17,147.09,16384,1,3,0.0341,0.1399,"0"
50076.18,661.74,4080.61,100.56,16384,160,3,0.0281,0.1588,"1"
6704.3,50628.41,1485.86,487.43,16384,3,4,0.0271,0.8558,"2"
6622.04,82495.11,3730.23,544.65,8192,0,5,0.0423,0.8755,"2"
28062.87,2818.52,2100.35,106.62,16384,3,5,9e-04,0.0606,"0"
25710.86,4569.43,952.99,122.86,8192,3,4,0.1791,0.0771,"3"
53433.84,4192.06,2592.45,90.86,4096,2,3,0.0108,0.0367,"0"
24873.27,2583.53,5024.68,27.13,16384,2,6,0.0299,0.0815,"0"
67623.34,9698.63,6893.15,59.41,65535,56,9,0.0474,0.1106,"1"
20396.08,4346.45,3502.26,216.9,1024,144,8,0.0168,0.0993,"1"
22749.56,1449.26,1722.36,114.47,16384,1,4,0.0363,0.1044,"0"
9337.39,1360.54,1280.74,103.92,8192,2,3,0.0493,0.0066,"0"
83129.54,4918.34,6256.16,144.43,2048,5,8,0.0442,0.1698,"0"
10895.02,3291.42,986.26,81.42,1024,2,6,0.0237,0.1735,"0"
54157.81,2874.71,1371.56,63.22,8192,1,6,0.0039,0.0059,"0"
4573.82,7422.59,3361.11,11.1,16384,1,3,0.047,0.1775,"0"
71427.82,2171.1,1358.55,93.36,4096,1,7,0.0087,0.1446,"0"
47704.89,4928.8,2543.31,75.73,16384,1,6,0.0011,0.1718,"0"
46215.33,544.93,3282.63,65.31,8192,2,7,0.0192,0.0138,"0"
2724.95,717.37,673.39,149.53,8192,0,6,0.0076,0.0855,"0"
43426.42,768.67,4078.76,104.16,2048,1,4,0.0281,0.1724,"0"
5449.44,907.82,6786.09,64.61,1024,0,4,0.0345,0.1884,"0"
1092.75,3512.36,1525.64,197.77,4096,121,8,0.0298,0.0679,"1"
8990.67,8013.09,3896.1,100.68,16384,6,2,0.3775,0.0123,"3"
42250.7,1287.49,6509.41,82.56,16384,155,3,0.0114,0.0784,"1"
5662.87,91610.38,6762.92,445.16,1024,2,5,0.0111,0.9026,"2"
22498.32,4732.41,2203.25,3.99,2048,3,6,0.111,0.127,"3"
8534.8,2691.05,2090.68,64.83,8192,2,2,0.0223,0.092,"0"
14174.12,1719.26,4882.36,7.69,1024,0,6,0.2669,0.0359,"3"
17170.96,81211.35,3372.13,470.06,4096,3,3,0.0153,0.8787,"2"
72067.18,92296.09,1439.75,347.26,8192,4,4,0.0278,0.9897,"2"
14625.7,62507.06,4906.4,866.56,2048,2,4,0.0148,0.8822,"2"
121026.33,7022.64,4413.78,228.62,4096,159,5,0.0483,0.0527,"1"
76106.11,5601.58,6831.3,166.36,16384,181,10,0.0054,0.174,"1"
7847.48,65854.54,2542.08,941.11,16384,4,3,0.0324,0.8603,"2"
87216.38,1714.24,3841.57,32.8,16384,1,3,0.0107,0.1955,"0"
27297.59,1691.25,3013.97,147.7,4096,2,6,0.0062,0.0226,"0"
49208.61,5721.31,5586.39,11.36,1024,1,5,0.0131,0.0029,"0"
207411.97,1532.26,2474.3,214.77,4096,57,7,0.0099,0.0024,"1"
143759.8,185.73,3823.47,12.04,1024,1,3,0.0119,0.0181,"0"
29456.34,3000.36,1066.12,103.82,8192,3,3,0.0297,0.0019,"0"
1661.26,69.15,2044.85,80.07,65535,2,4,0.0288,0.0307,"0"
195271.64,1090.66,6262.25,62.02,8192,2,9,0.0156,0.1873,"0"
51229.58,1790.89,1677.94,63.82,16384,0,7,0.0266,0.1103,"0"
66220.55,2650.67,3205.32,79.12,65535,2,2,0.0459,0.0542,"0"
17673.61,729.77,1711.69,67.31,16384,0,7,0.0458,0.1492,"0"
79258.83,5832.15,7440.32,73.69,16384,1,4,0.0134,0.1956,"0"
66516.89,1838.06,4970.82,72,1024,2,4,0.0047,0.02,"0"
123663.97,183.8,4363.68,95.84,1024,2,8,0.0052,0.035,"0"
139282.66,2518.89,2483.8,32.55,1024,1,8,0.0452,0.116,"0"
24283.74,2388.17,605.72,128.83,8192,2,5,0.2213,0.1667,"3"
11402.19,3606.57,500.14,132.6,4096,3,11,0.0416,0.0679,"0"
16618.6,715.94,794.15,2.08,65535,1,4,8e-04,0.0347,"0"
40252.58,4261.42,3108.87,107.49,8192,0,4,0.0183,0.1048,"0"
78951.98,1659.38,3144.63,78.27,4096,1,4,3e-04,0.021,"0"
6646.6,606.2,2762.63,100.79,4096,1,5,0.0461,0.0896,"0"
172930.85,1918.15,5060.84,241.11,1024,116,6,0.0198,0.132,"1"
28250.12,50533.23,1427.86,705.15,16384,0,4,0.0252,0.9458,"2"
44002.65,53915.32,1333.83,826.56,2048,3,5,0.0134,0.7333,"2"
58979.43,3348.92,291.37,128.57,1024,0,6,0.0256,0.1404,"0"
57211.94,2053.78,2374.08,86.62,16384,3,11,0.0214,0.1904,"0"
25569.84,2112.9,6634.87,113.04,1024,2,4,0.3418,0.1194,"3"
27565.82,5242.04,6436.14,58.69,2048,2,7,0.0444,0.0873,"0"
28257.94,1100.82,7403.09,147.99,1024,0,7,0.0395,0.0979,"0"
55698.82,7333.63,1968.18,22.11,4096,1,5,0.0389,0.0773,"0"
22862.85,3072.43,1067.51,142.15,1024,37,7,0.0296,0.1634,"1"
49894.02,3598.51,2776.08,132.56,16384,1,5,0.0353,0.0774,"0"
15920.59,1709.96,3226.53,20.86,65535,1,4,0.0463,0.1748,"0"
62482.72,6808.89,4084.03,110.93,2048,2,8,0.0406,0.0161,"0"
9141.66,2262.85,580,71.02,2048,64,4,0.0468,0.09,"1"
264521.56,3678.8,1353.95,149.07,65535,2,5,0.0094,0.0955,"0"
101305.98,2107.26,6608.59,54.46,1024,1,4,0.0206,0.164,"0"
43485.09,2157.06,2882.15,50.2,16384,172,4,0.0283,0.1373,"1"
21987.75,2214.86,2155.79,74.79,16384,5,4,0.2001,0.0565,"3"
82610.39,1525.75,1255.45,89.45,2048,1,2,0.0371,0.0373,"0"
193933.86,17715.29,832.5,573.24,4096,0,8,0.0374,0.8579,"2"
9867.51,5716.88,4578.42,45.67,4096,3,3,0.0285,0.0455,"0"
21035.25,1438.49,684.62,26.62,16384,1,8,0.0383,0.0281,"0"
103387.93,4126.59,2367.11,94.05,4096,2,4,0.0241,0.035,"0"
58531.09,2918.53,3691.69,114.27,65535,0,5,0.0193,0.1686,"0"
25827.31,5480.41,2857.15,44.08,65535,1,6,0.0172,0.1432,"0"
33081.51,492.87,1897.04,14.89,65535,1,5,0.0052,0.0202,"0"
65448.19,1468.41,1442.32,54.49,16384,2,5,0.003,0.1491,"0"
1021.57,2039.87,2616.24,11.93,4096,1,8,0.0339,0.0235,"0"
19081.62,580.35,5235.31,135.7,4096,3,4,0.0239,0.0841,"0"
41049.28,8367.53,2759.25,25.21,16384,0,2,0.0332,0.0679,"0"
41484.25,3298.4,3283.09,8.55,2048,0,6,0.0192,0.1571,"0"
2466.23,136.69,1485.23,279.66,8192,41,3,0.0019,0.0325,"1"
26999.08,1571.13,5909.55,19.66,1024,2,3,0.0216,0.0981,"0"
62335.47,8252.7,7120.53,23.68,65535,0,2,0.0101,0.1017,"0"
232540.81,6755.46,1347.34,174.05,65535,66,4,0.0023,0.0946,"1"
54436.89,2386.71,3022.27,86.1,65535,2,4,0.0448,0.0702,"0"
23040.59,6255.73,610.88,88.8,65535,2,4,0.0115,0.0094,"0"
1215.34,2598.38,5139.77,125.21,65535,3,2,0.0478,0.1653,"0"
17900.13,1954.57,4502.51,88.27,8192,0,6,0.0162,0.0036,"0"
4396.23,3114.58,4007.39,38.81,65535,0,7,0.0227,0.1674,"0"
64856.75,1225.25,3813.56,44.37,65535,2,6,0.0319,0.1993,"0"
26831.52,2119.11,2664.87,147.63,2048,0,8,0.02,0.064,"0"
7679.53,3092.45,4315.34,200.63,65535,83,3,0.0296,0.0277,"1"
51692.73,475.8,3265.09,65.26,1024,0,7,0.0193,0.0021,"0"
22725.76,1661.66,4489.46,48.58,65535,2,7,0.0477,0.049,"0"
76227.14,2515.8,4287.92,21.75,65535,1,1,0.012,0.1667,"0"
51610.88,2417.83,184.56,97.74,65535,1,4,0.0169,0.1159,"0"
10212.28,2457.51,2646.34,281.91,2048,143,6,0.032,0.0807,"1"
13292.05,4308.78,1885.81,26.83,8192,2,6,0.0404,0.0785,"0"
25434.25,3074.42,1124.53,138.91,8192,3,8,0.0154,0.0158,"0"
89365.47,1564.08,4179.97,121.06,8192,0,8,0.0447,0.0723,"0"
53646.14,22474.05,1224.51,919.99,1024,5,2,0.0069,0.9637,"2"
105460.65,74672.39,1031.83,281.79,1024,1,1,0.0043,0.8766,"2"
57590.32,5422.6,701.16,86.59,4096,3,5,0.0352,0.1823,"0"
9081.71,35996.02,2367.52,718.86,1024,0,2,0.0454,0.7148,"2"
37223.91,2687.13,2061.06,91.8,2048,2,8,0.0198,0.0507,"0"
1525.38,2292.62,4343.2,104.27,2048,3,6,0.031,0.1139,"0"
20325.58,5121.06,663.7,148.8,4096,1,8,0.3886,0.1054,"3"
45121.64,1458.03,9416.12,41.12,4096,1,5,0.0248,0.0466,"0"
57857.57,4620.36,5214.86,55.71,1024,1,5,0.0153,0.048,"0"
29911.83,81.37,11417.47,131.98,1024,4,4,0.0353,0.129,"0"
42633.89,3830.86,3790.08,68.06,4096,2,4,0.0069,0.008,"0"
8515.84,1505.06,3431.2,38.44,4096,2,6,0.0293,0.0628,"0"
10165.26,93425.7,5860.73,832.79,8192,1,5,0.0135,0.7306,"2"
8910.68,1955.61,5323.61,34.66,8192,2,7,0.0302,0.0637,"0"
18070.31,2865.58,6195.62,106.49,16384,1,7,0.2969,0.1789,"3"
40457.14,6364.78,5439.56,91.91,16384,2,8,0.0387,0.1202,"0"
759.67,2909.79,6999.79,67.25,8192,2,7,0.0169,0.1423,"0"
110520.82,387.62,1464.85,80.4,65535,2,7,0.0018,0.0976,"0"
5807.08,3659.83,1205.02,69.42,1024,2,5,0.0049,0.1083,"0"
61775.38,6505.31,3202.96,149.55,65535,1,10,0.0167,0.0075,"0"
74645.53,4182.24,59.14,119.73,1024,120,3,0.0274,0.0695,"1"
26972.53,2924.65,3508.81,81.32,2048,0,6,0.0092,0.1522,"0"
65122.57,25026.21,7075.05,937.48,2048,3,5,0.0347,0.87,"2"
33299.66,638.77,1326.84,70.36,16384,6,3,0.0292,0.0145,"0"
43163.54,1783.11,6339.17,123.05,2048,4,4,0.0431,0.1535,"0"
42898.05,2403.61,1489.35,24.04,4096,3,4,0.0149,0.0961,"0"
8888.72,915.55,6034.02,25.45,65535,0,6,0.1178,0.1953,"3"
162805.86,3099.74,2965.14,69.54,16384,2,1,0.0143,0.1974,"0"
32309.92,2345.49,6735.25,14.64,16384,0,9,0.0351,0.0583,"0"
105259.21,2294.09,4418.83,70.17,2048,0,6,0.0309,0.0697,"0"
103927.85,1719.52,3509.64,10.97,8192,2,7,0.0283,0.0962,"0"
57687.51,6526.1,3983.13,61.98,16384,6,9,0.0105,0.116,"0"
46567.58,1220.63,2538.36,97.86,65535,0,4,0.0493,0.127,"0"
3901.42,3058.26,2240.26,99.34,4096,1,3,0.0331,0.16,"0"
23227.65,1698.53,773.33,131.2,65535,1,6,0.0039,0.1909,"0"
31207.25,267.93,5272.74,34.46,16384,2,4,0.0143,0.0533,"0"
1819.58,4831.6,6471.21,97.77,65535,1,7,0.0272,0.1961,"0"
62117.72,2907.54,1260.76,23.42,4096,1,11,0.0384,0.1883,"0"
3170.62,61045.51,6030.66,753.93,4096,0,4,0.0084,0.707,"2"
9768.99,650.63,4408.9,39.55,4096,1,3,0.0319,0.1116,"0"
19588.2,824.77,2903.08,109.56,65535,4,9,0.0395,0.1489,"0"
144088.55,4503.69,2478.56,139.17,8192,1,2,0.0143,0.0959,"0"
67314.42,45293.08,3411.2,271.54,4096,1,2,0.0252,0.8743,"2"
23505.49,877.3,1032.32,135.32,16384,1,4,0.0118,0.1177,"0"
101082.49,1440.97,183.07,129.44,65535,3,10,0.0145,0.0841,"0"
